Munkalapszám;Dátum;"Progress kód";Állapot;Megjegyzés
NMLM107996;"2021. 10. 18.";'R0753';"Nem szeretne nyilatkozni!";"TILOS HÍVNI!!"
NMBO091961;"2021. 10. 18.";'K0634';"Nem szeretne nyilatkozni!";"Az ügyfél 10.14-én kért visszahívást a mai napra, de nem vette fel!!"
NMBO092158;"2021. 10. 18.";'K4674';"Sikeres hívás, kérdõív kitöltve.";"Ki kellett cserélni a féktárcsát és a fékbetétet, de nem jó alkatrészt hoztak, és ezért kellett visszamennie!!"
NMBO091962;"2021. 10. 18.";'J9667';"Nem szeretne nyilatkozni!";"Ez a telefonszám 10.14. óta csak csörgött!!"
NMBO091945;"2021. 10. 18.";'K1761';"Nem szeretne nyilatkozni!";"Ez a telefonszám 10.14. óta csak csörgött!!"
NMLM109979;"2021. 10. 18.";'B5149';"Sikeres hívás, kérdõív kitöltve.";"Motorolaj került a gázolajba ez a problémája, mielõtt a szervizbe ment és ez másodszorra fordult már elõ!! Attól fél, hogy ez most már mindig így lesz, vagy így marad?!"
NMLM110015;"2021. 10. 18.";'B6429';"Nem szeretne nyilatkozni!";"Ez a telefonszám 10.15. óta vagy csak csörög, vagy kinyomott!"
NMLZ116409;"2021. 10. 18.";'T1111';"Nem szeretne nyilatkozni!";"Angolul beszél az ügyfél!!"
NMLM110054;"2021. 10. 18.";'B4496';"Sikeres hívás, kérdõív kitöltve.";"A munkafelvevõ stílusával volt gondja!!"
NMBO092043;"2021. 10. 18.";'H2088';"Sikeres hívás, kérdõív kitöltve.";"Úgy emlékszik, hogy leszokták mosni az autót, sajnos ez most nem történt meg, és a kávé automata sajnos nem mûködött!!"
NMBO092032;"2021. 10. 18.";'J7090';"Nem szeretne nyilatkozni!";"Már bejelölte a szervizlapon, hogy nem hívásokat!!!TILOS HÍVNI!!!!"
NMLZ115128;"2021. 10. 18.";'T2361';"Sikeres hívás, kérdõív kitöltve.";"Nagyon sokáig tartott ez a javítás!! Az autó kereke le volt eresztve, amikor elhozta az autót!!"
NMLZ116435;"2021. 10. 18.";'T2517';"Sikeres hívás, kérdõív kitöltve.";"Kettõ kellemetlenség: félóra munkát ígértek, de három óra lett, kommunikációs probléma is volt! Az alkatrész megrendelése volt a másik probléma, hogy több mint egy hónapot várt, nem hívták neki kellett telefonálni érdeklõdni!!"
NMLZ116088;"2021. 10. 18.";'T2556';"Sikeres hívás, kérdõív kitöltve.";"Gusztustalanul drága minden, megáll az ember esze!!"
NMLG031950;"2021. 10. 18.";'B0667';"Nem szeretne nyilatkozni!";"Most hozták el az autót, még nem is mentek vele! Mindig amikor elhozzák az autót kijön rajta valamilyen probléma, reméli, hogy most ez nem fog elõfordulni!!"
NMLM110102;"2021. 10. 18.";'A5721';"Sikeres hívás, kérdõív kitöltve.";"Gyenge alkatrész ellátottság van! Hivatkoznak más cégekre, hogy átvették, 3-4 hónapot várt legutóbb egy fék hengerre!"
NMBO091991;"2021. 10. 18.";'J0734';"Sikeres hívás, kérdõív kitöltve.";"Nyilván a népszerûség következtében nehéz volt bejutni a szervizbe, telefonon keresztül!!!"
NMBO092034;"2021. 10. 18.";'J9233';"Sikeres hívás, kérdõív kitöltve.";"Nem tudta, hogy két napig fog tartani, és akkor elõre kért volna bérautót!!"
NMBO092054;"2021. 10. 18.";'K2254';"Sikeres hívás, kérdõív kitöltve.";"Egy: nincs lehetõség arra, hogy valamivel vissza lehetne jutni a városba!!<br />
Kettõ:ez a 3. szerviz amin volt, és régebben elmondták, hogy mi van az autóval, vagy mit csináltak az autóval, ez elvárás lenne! Kéri, hogy erre az e-mail címre küldjenek neki tájékoztatást, hogy hogyan lehet meghosszabbítani vagy újra kötni az assistance szolgáltatást!! E-mail címe:p.55edel@gmail.com"
NMLZ116411;"2021. 10. 18.";'S9381';"Sikeres hívás, kérdõív kitöltve.";"Kicsit sok idõbe telik az idõpont foglalás, ez hetek és jó lenne ha lenne több kapacitás!!"
NMLG032167;"2021. 10. 18.";'B3719';"Sikeres hívás, kérdõív kitöltve.";"Kampány visszahívás(légzsák)!!"
NMBO092108;"2021. 10. 18.";'I3513';"Sikeres hívás, kérdõív kitöltve.";"Az 56. napon ajánlottak neki bérautót, és 60 napig volt bent az autó!!"
NMBO092095;"2021. 10. 18.";'J5199';"Sikeres hívás, kérdõív kitöltve.";"A holnapi napon újra megy vissza, mert figyelmeztették, kuplungcsere lesz!"
NMBO092074;"2021. 10. 18.";'J6870';"Sikeres hívás, kérdõív kitöltve.";"Nagyon, nagyon drága a szerviz, de jó a szolgáltatás!!"
NMLZ116416;"2021. 10. 18.";'T2591';"Sikeres hívás, kérdõív kitöltve.";"Elhozta az autót és két napra rá elfolyt a szervó olaj, és elvitte egy másik szervizbe!!"
NMLZ116365;"2021. 10. 18.";'T2605';"Sikeres hívás, kérdõív kitöltve.";"A hölgy nem értékelte az 1. kérdést én írtam be, mert különben nem tudom elmenteni, elküldeni! Azt sérelmezte, hogy semmiféle információt nem kapott az autóról! Komoly problémája volt, hogy 38 ezere forint lesz, és helyette 59 ezer forintot kellett kifizetnie, errõl tájékoztatni kellett volna, és sérelmezi ezt nagyon erõteljesen, mert akkor elgondolkodik azon kéri-e vagy nem!! "
NMLZ116529;"2021. 10. 18.";'T1853';"Nem szeretne nyilatkozni!";Dolgozónk!!!
NMLG032134;"2021. 10. 18.";'C1174';"Nem szeretne nyilatkozni!";"Ez a telefonszám 10.14. óta csak csörgött!"
NMLG032123;"2021. 10. 18.";'C1205';"Nem szeretne nyilatkozni!";"Ez a telefonszám 10.14. óta két csörgetés után kinyomott!!"
NMLM110069;"2021. 10. 18.";'R1294';"Nem szeretne nyilatkozni!";"Ezen a telefonszámon az elsõ csörgetés után kinyomott 10.15. óta!"
NMLM110084;"2021. 10. 18.";'R0788';"Nem szeretne nyilatkozni!";"Mindkét telefonszám 10.15. óta csak csörgött!!"
NMLM110080;"2021. 10. 18.";'R1036';"Sikeres hívás, kérdõív kitöltve.";"Nagyon drágának találta a szervizt, de kiszolgálással rendben volt minden!!"
NMLZ115977;"2021. 10. 18.";'R1088';"Sikeres hívás, kérdõív kitöltve.";"Elfelejtették a bérautót adni, pedig elõre szólt, helyette buszjegyet kapott!! Nem nagyon szeretne többet ide jönni!"
NMBO092127;"2021. 10. 18.";'J5986';"Nem szeretne nyilatkozni!";"TILOS HÍVNI!"
